Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.9528138528138529,0.9066711590296497,0.9056603773584906,0.9057730777538812,0.846376811594203,0.9835329485329485
KNN,0.9432900432900432,0.9302962595167164,0.9245283018867925,0.9253214590141814,0.8787878787878788,0.9812602212602212
KNN,0.9387445887445887,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.9075581395348837,0.9914189514189514
KNN,0.9194805194805195,0.8958051217236918,0.8679245283018868,0.8755087545934597,0.7919237240605721,0.9867604617604618
LR,0.8954545454545455,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9568181818181817
LR,0.9002164502164502,0.9137466307277629,0.9056603773584906,0.9083391985418189,0.8478760045924225,0.9586700336700336
LR,0.8764069264069263,0.9137466307277629,0.9056603773584906,0.9083391985418189,0.8478760045924225,0.9502260702260702
LR,0.8764069264069263,0.9263252470799641,0.9245283018867925,0.925026061966434,0.8771014492753624,0.9521620971620971
SVC,0.9666666666666666,0.9484875711290804,0.9433962264150944,0.9445049764038151,0.9087256027554536,0.992987012987013
SVC,0.961904761904762,0.9100095055796451,0.9056603773584906,0.9064431571063768,0.8478760045924225,0.9883020683020683
SVC,0.9478354978354979,0.9484875711290804,0.9433962264150944,0.9445049764038151,0.9087256027554536,0.9882996632996633
SVC,0.90995670995671,0.9279350104821803,0.9245283018867925,0.9256155292305601,0.8779504893494531,0.9859716209716209
