Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.8742690058479532,0.8751785714285714,0.875,0.8738339552238805,0.7935483870967742,0.9573775423236685
KNN,0.8418128654970761,0.8729063828328535,0.8625,0.86621162874684,0.7768196804463606,0.9701258115435157
KNN,0.858187134502924,0.8698640405293631,0.8625,0.8653729071537292,0.7762522247648106,0.9535423776983275
KNN,0.8748538011695907,0.8883928571428573,0.875,0.8787802197802197,0.7984378936759889,0.9347338553350782
LR,0.9014619883040936,0.9291118421052632,0.925,0.9263721365123889,0.8769861609431061,0.9823424982814992
LR,0.8795321637426902,0.9123511904761905,0.9,0.9042474591250553,0.8381385938290339,0.9667538790528395
LR,0.8798245614035087,0.8756831983805669,0.8625,0.8675362021857923,0.7756818761152179,0.9595958248124262
LR,0.8850877192982457,0.9291118421052632,0.925,0.9263721365123889,0.8769861609431061,0.9729829900851765
SVC,0.9175438596491228,0.9760416666666666,0.975,0.9751725327812284,0.9590478628103404,0.9980337907537099
SVC,0.9076023391812866,0.9102564102564102,0.9,0.9024451754385965,0.8366513527309851,0.9841615675791612
SVC,0.9023391812865498,0.9262499999999999,0.925,0.9243262114229858,0.8753246753246753,0.991047302472985
SVC,0.9076023391812866,0.9399305555555555,0.9375,0.9384306134603932,0.8977505112474438,0.9823847194929097
