Column,SVC,LR,KNN
Feature 4,"{'C': 6, 'gamma': 1, 'kernel': 'rbf'}","{'C': 1.0, 'penalty': 'l2', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'distance'}"
Feature 5,"{'C': 11, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 1.0, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}"
Feature 7,"{'C': 16, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 1.0, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}"
Feature 9,"{'C': 19, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 7.742636826811269, 'penalty': 'l2', 'solver': 'liblinear'}","{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}"
