,0,1,2,3,4,5
Metrics,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
SVC,0.9637096774193549,0.9679742084138546,0.9637096774193549,0.9618350454753647,0.8350698293061405,0.990878128388419
LR,0.9395161290322581,0.9526555120088434,0.9395161290322581,0.934539810547875,0.7359079937526622,0.9812241417460167
KNN,0.9516129032258065,0.9504181600955794,0.9516129032258065,0.9483870967741935,0.7768780926675664,0.9872410748334923
