Metrics,SVM,LR,KNN
Accuracy (Weighted),0.8438746438746438,0.8934472934472936,0.8179487179487179
Precision (Weighted),0.840947601397262,0.895159793909794,0.838717344049169
Recall (Weighted),0.8438746438746438,0.8934472934472936,0.8179487179487179
F1 Score (Weighted),0.8286887930652853,0.8893469208856803,0.8158903490936714
ROC AUC OVR (Weighted),0.9574660539992284,0.9750474302731827,0.9204282484976097
