,Metrics,SVC,LR,KNN
0,Accuracy,0.9516129032258065,0.9395161290322581,0.9395161290322581
1,Precision,0.9608661405942883,0.9285373329313638,0.9407510282743099
2,Recall,0.9516129032258065,0.9395161290322581,0.9395161290322581
3,F1 Score,0.945452853068618,0.9315529527223074,0.9383050645249856
4,Cohen Kappa,0.7827102803738317,0.7359079937526622,0.7331228926034866
5,AUC,0.9888445959515512,0.9806308838140209,0.983635042807054
