,Metrics,SVC,LR,KNN
0,Accuracy,0.9464609800362977,0.9118874773139746,0.9412583182093164
1,Precision,0.9618915583336998,0.9445823598130841,0.9633650802393265
2,Recall,0.9556451612903226,0.9435483870967742,0.9596774193548387
3,F1 Score,0.9557190294784786,0.939150238948626,0.9610641747738522
4,Cohen Kappa,0.8096168609114384,0.753793788115161,0.8253275109170306
5,AUC,0.9918255633441494,0.9787040266266068,0.9914136576885691
