Metrics,SVM,LR,KNN
Accuracy (Weighted),0.9080811049074347,0.9092712312665296,0.8947252424331472
Precision (Weighted),0.9205531688413686,0.9103249674378524,0.9206357367759848
Recall (Weighted),0.9080811049074347,0.9092712312665296,0.8947252424331472
F1 Score (Weighted),0.9029366109394074,0.899689069951051,0.8963071404513852
ROC AUC OVR (Weighted),0.9681065543263998,0.9757976143874156,0.9452131365111756
