Column,SVC,LR,KNN
Feature 4,"{'C': 8, 'gamma': 1, 'kernel': 'rbf'}","{'C': 1.0, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'}"
Feature 5,"{'C': 11, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 1.0, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 19, 'weights': 'distance'}"
Feature 7,"{'C': 20, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 2.7825594022071245, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}"
Feature 9,"{'C': 18, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}","{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}"
