Model,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
KNN,0.787719298245614,0.7028571428571428,0.7,0.7004841862117981,0.5045161290322581,0.8003283040054715
KNN,0.8798245614035087,0.889147465437788,0.875,0.8803611111111111,0.7979287698913867,0.9518029724776597
KNN,0.858187134502924,0.8795955882352942,0.875,0.8760252556180296,0.7960224375318715,0.9623863167748247
KNN,0.8573099415204679,0.9164215686274509,0.9125,0.9131311584924567,0.85721570627231,0.9699681056441357
LR,0.6903508771929825,0.603030303030303,0.7,0.6477850399419027,0.4696132596685083,0.7967381213913379
LR,0.9070175438596492,0.9291118421052632,0.925,0.9263721365123889,0.8769861609431061,0.9819033239292813
LR,0.87953216374269,0.9064583333333334,0.8875,0.8936708614762736,0.8188679245283019,0.9620138570368443
LR,0.8742690058479532,0.8984311740890689,0.8875,0.8913278688524591,0.8164669895488147,0.9645758024921006
SVC,0.7499999999999999,0.7234270631329455,0.725,0.718368544600939,0.5389048991354468,0.8148317303279701
SVC,0.9122807017543861,0.9760416666666666,0.975,0.9751725327812284,0.9590478628103404,0.9965447017373679
SVC,0.9014619883040936,0.9013020833333332,0.875,0.883150684931507,0.7997997997997999,0.9646911243615617
SVC,0.8804093567251462,0.8594736842105263,0.8625,0.8607380952380952,0.772020725388601,0.9744036220057611
