,0,1,2,3,4,5
Metrics,Accuracy,Precision,Recall,F1 Score,Cohen Kappa,AUC
SVC,0.8956709956709956,1.0,1.0,1.0,1.0,1.0
LR,0.890909090909091,0.9069182389937106,0.9056603773584906,0.8980130381747632,0.8431024274718768,0.9939682539682541
KNN,0.8391774891774892,0.8840970350404314,0.8867924528301887,0.8847982819450836,0.8138173302107728,0.951022126022126
