,Metrics,SVC,LR,KNN
0,Accuracy,0.9245283018867925,0.8301886792452831,0.8113207547169812
1,Precision,0.9256220946130708,0.8111635220125786,0.8194444444444444
2,Recall,0.9245283018867925,0.8301886792452831,0.8113207547169812
3,F1 Score,0.920919486706486,0.8151632733842975,0.8149674964325353
4,Cohen Kappa,0.8753674309229865,0.7175843694493783,0.6948762233736328
5,AUC,0.978114478114478,0.9544083694083693,0.8957335257335256
