Column,SVC,LR,KNN
Feature 4,"{'C': 7, 'gamma': 1, 'kernel': 'linear'}","{'C': 7.742636826811269, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}"
Feature 5,"{'C': 19, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 2.7825594022071245, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}"
Feature 7,"{'C': 11, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 2.7825594022071245, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}"
Feature 9,"{'C': 11, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 2.7825594022071245, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}"
