Column,SVC,LR,KNN
Feature 4,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}","{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}","{'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}"
Feature 5,"{'C': 14, 'gamma': 1, 'kernel': 'linear'}","{'C': 2.7825594022071245, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}"
Feature 7,"{'C': 18, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 21.544346900318832, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'distance'}"
Feature 9,"{'C': 6, 'gamma': 1, 'kernel': 'linear'}","{'C': 2.7825594022071245, 'penalty': 'l1', 'solver': 'saga'}","{'metric': 'manhattan', 'n_neighbors': 20, 'weights': 'distance'}"
